"idhod","hodnota","ukaz_kod","vek_cis","vek_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vek_txt","uzemi_txt"
"947101730","13","3162","1035","1200659999","43","530361","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Kařízek"
"947133644","131","3162",,,"43","530379","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Drahoňův Újezd"
"947125251","22","3162","1035","1100000014","43","530379","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Drahoňův Újezd"
"947125250","75","3162","1035","1300150064","43","530379","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Drahoňův Újezd"
"947148659","34","3162","1035","1200659999","43","530379","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Drahoňův Újezd"
"947145320","257","3162",,,"43","530387","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Radvanec"
"947065629","60","3162","1035","1100000014","43","530387","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Radvanec"
"947090059","162","3162","1035","1300150064","43","530387","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Radvanec"
"947113521","35","3162","1035","1200659999","43","530387","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Radvanec"
"947074922","205","3162",,,"43","530395","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Janská"
"947136923","39","3162","1035","1100000014","43","530395","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Janská"
"947065631","128","3162","1035","1300150064","43","530395","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Janská"
"947065630","38","3162","1035","1200659999","43","530395","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Janská"
"947086697","292","3162",,,"43","530409","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Petroupim"
"947090201","46","3162","1035","1100000014","43","530409","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Petroupim"
"947125411","185","3162","1035","1300150064","43","530409","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Petroupim"
"947137080","61","3162","1035","1200659999","43","530409","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Petroupim"
"947086698","114","3162",,,"43","530417","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Doubice"
"947113679","9","3162","1035","1100000014","43","530417","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Doubice"
"947078467","58","3162","1035","1300150064","43","530417","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Doubice"
"947148800","47","3162","1035","1200659999","43","530417","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Doubice"
"947098427","208","3162",,,"43","530425","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Dalešice"
"947065785","42","3162","1035","1100000014","43","530425","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Dalešice"
"947125412","125","3162","1035","1300150064","43","530425","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Dalešice"
"947101886","41","3162","1035","1200659999","43","530425","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Dalešice"
"947121827","365","3162",,,"43","530433","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Kunratice"
"947078468","67","3162","1035","1100000014","43","530433","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Kunratice"
"947125413","222","3162","1035","1300150064","43","530433","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Kunratice"
"947090202","76","3162","1035","1200659999","43","530433","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Kunratice"
"947071689","1494","3162",,,"43","530441","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Poříčí nad Sázavou"
"947137082","300","3162","1035","1100000014","43","530441","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Poříčí nad Sázavou"
"947137081","915","3162","1035","1300150064","43","530441","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Poříčí nad Sázavou"
"947078469","279","3162","1035","1200659999","43","530441","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Poříčí nad Sázavou"
"947072358","1461","3162",,,"43","530450","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Postupice"
"947101887","270","3162","1035","1100000014","43","530450","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Postupice"
"947113680","885","3162","1035","1300150064","43","530450","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Postupice"
"947137083","306","3162","1035","1200659999","43","530450","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Postupice"
"947145321","947","3162",,,"43","530468","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Dlouhý Most"
"947065939","188","3162","1035","1100000014","43","530468","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Dlouhý Most"
"947148801","610","3162","1035","1300150064","43","530468","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Dlouhý Most"
"947137084","149","3162","1035","1200659999","43","530468","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Dlouhý Most"
"947071800","568","3162",,,"43","530476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Pravonín"
"947137238","83","3162","1035","1100000014","43","530476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Pravonín"
"947102043","374","3162","1035","1300150064","43","530476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Pravonín"
"947148967","111","3162","1035","1200659999","43","530476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Pravonín"
"947075084","575","3162",,,"43","530484","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Jeřmanice"
"947148969","116","3162","1035","1100000014","43","530484","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Jeřmanice"
"947148968","381","3162","1035","1300150064","43","530484","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Jeřmanice"
"947078604","78","3162","1035","1200659999","43","530484","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Jeřmanice"
"947110342","429","3162",,,"43","530492","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Přestavlky u Čerčan"
"947137240","83","3162","1035","1100000014","43","530492","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Přestavlky u Čerčan"
"947065940","264","3162","1035","1300150064","43","530492","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Přestavlky u Čerčan"
"947137239","82","3162","1035","1200659999","43","530492","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Přestavlky u Čerčan"
"947121977","209","3162",,,"43","530506","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Miřejovice"
"947148970","23","3162","1035","1100000014","43","530506","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Miřejovice"
"947102044","147","3162","1035","1300150064","43","530506","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Miřejovice"
"947090345","39","3162","1035","1200659999","43","530506","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Miřejovice"
"947072527","129","3162",,,"43","530514","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Psáře"
"947065942","19","3162","1035","1100000014","43","530514","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Psáře"
"947065941","78","3162","1035","1300150064","43","530514","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Psáře"
"947148971","32","3162","1035","1200659999","43","530514","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Psáře"
"947098580","320","3162",,,"43","530522","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Rabyně"
"947125708","44","3162","1035","1100000014","43","530522","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Rabyně"
"947137242","193","3162","1035","1300150064","43","530522","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Rabyně"
"947137241","83","3162","1035","1200659999","43","530522","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Rabyně"
"947072273","404","3162",,,"43","530531","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Radošovice"
"947113969","89","3162","1035","1100000014","43","530531","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Radošovice"
"947137412","253","3162","1035","1300150064","43","530531","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Radošovice"
"947137411","62","3162","1035","1200659999","43","530531","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Radošovice"
"947086870","161","3162",,,"43","530549","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Rataje"
"947113970","22","3162","1035","1100000014","43","530549","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Rataje"
"947078742","101","3162","1035","1300150064","43","530549","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Rataje"
"947078741","38","3162","1035","1200659999","43","530549","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Rataje"
"947086871","125","3162",,,"43","530557","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Kozly"
"947149125","20","3162","1035","1100000014","43","530557","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Kozly"
"947078743","78","3162","1035","1300150064","43","530557","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Kozly"
"947113971","27","3162","1035","1200659999","43","530557","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Kozly"
"947071715","95","3162",,,"43","530565","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Želkovice"
"947137413","18","3162","1035","1100000014","43","530565","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Želkovice"
"947149126","64","3162","1035","1300150064","43","530565","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Želkovice"
"947090495","13","3162","1035","1200659999","43","530565","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Želkovice"
"947098581","2992","3162",,,"43","530573","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Sedlec-Prčice"
"947078744","505","3162","1035","1100000014","43","530573","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Sedlec-Prčice"
"947125709","1730","3162","1035","1300150064","43","530573","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Sedlec-Prčice"
"947102209","757","3162","1035","1200659999","43","530573","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Sedlec-Prčice"
"947110343","302","3162",,,"43","530581","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Čeradice"
"947113972","53","3162","1035","1100000014","43","530581","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Čeradice"
"947078745","199","3162","1035","1300150064","43","530581","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Čeradice"
"947066096","50","3162","1035","1200659999","43","530581","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Čeradice"
"947110344","497","3162",,,"43","530590","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Libočany"
"947135298","82","3162","1035","1100000014","43","530590","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Libočany"
"947076605","314","3162","1035","1300150064","43","530590","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Libočany"
"947113973","101","3162","1035","1200659999","43","530590","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Libočany"
"947110345","96","3162",,,"43","530603","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Zálužice"
"947111886","17","3162","1035","1100000014","43","530603","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Zálužice"
"947123515","65","3162","1035","1300150064","43","530603","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Zálužice"
"947063912","14","3162","1035","1200659999","43","530603","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Zálužice"
"947133823","262","3162",,,"43","530611","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Smilkov"
"947100080","36","3162","1035","1100000014","43","530611","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Smilkov"
"947146958","154","3162","1035","1300150064","43","530611","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Smilkov"
"947146957","72","3162","1035","1200659999","43","530611","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Smilkov"
"947121978","471","3162",,,"43","530620","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Přestanov"
"947100081","88","3162","1035","1100000014","43","530620","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Přestanov"
"947146959","306","3162","1035","1300150064","43","530620","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Přestanov"
"947111887","77","3162","1035","1200659999","43","530620","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Přestanov"
"947075085","479","3162",,,"43","530638","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Soběhrdy"
"947146960","122","3162","1035","1100000014","43","530638","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Soběhrdy"
"947088376","292","3162","1035","1300150064","43","530638","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Soběhrdy"
"947135299","65","3162","1035","1200659999","43","530638","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Soběhrdy"
"947075086","241","3162",,,"43","530646","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Hurtova Lhota"
"947123516","37","3162","1035","1100000014","43","530646","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Hurtova Lhota"
"947146961","159","3162","1035","1300150064","43","530646","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Hurtova Lhota"
"947063913","45","3162","1035","1200659999","43","530646","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Hurtova Lhota"
"947072305","249","3162",,,"43","530654","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Vysoká"
"947123517","56","3162","1035","1100000014","43","530654","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Vysoká"
"947063915","165","3162","1035","1300150064","43","530654","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Vysoká"
"947100082","28","3162","1035","1200659999","43","530654","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Vysoká"
"947121979","145","3162",,,"43","530662","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Ždírec"
"947088378","22","3162","1035","1100000014","43","530662","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Ždírec"
"947063917","98","3162","1035","1300150064","43","530662","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Ždírec"
"947063916","25","3162","1035","1200659999","43","530662","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Ždírec"
"947145459","67","3162",,,"43","530671","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Pšánky"
"947088379","10","3162","1035","1100000014","43","530671","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Pšánky"
"947135300","40","3162","1035","1300150064","43","530671","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Pšánky"
"947123518","17","3162","1035","1200659999","43","530671","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Pšánky"
"947098582","953","3162",,,"43","530689","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Struhařov"
"947123519","182","3162","1035","1100000014","43","530689","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Struhařov"
"947146962","613","3162","1035","1300150064","43","530689","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Struhařov"
"947111888","158","3162","1035","1200659999","43","530689","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Struhařov"
"947098583","140","3162",,,"43","530697","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Úherčice"
"947088380","19","3162","1035","1100000014","43","530697","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Úherčice"
"947076606","87","3162","1035","1300150064","43","530697","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Úherčice"
"947123520","34","3162","1035","1200659999","43","530697","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Úherčice"
"947145460","319","3162",,,"43","530701","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Střezimíř"
"947064061","51","3162","1035","1100000014","43","530701","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Střezimíř"
"947076607","186","3162","1035","1300150064","43","530701","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Střezimíř"
"947146963","82","3162","1035","1200659999","43","530701","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Střezimíř"
"947133824","103","3162",,,"43","530719","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Studený"
"947064062","17","3162","1035","1100000014","43","530719","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Studený"
"947088547","61","3162","1035","1300150064","43","530719","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Studený"
"947112033","25","3162","1035","1200659999","43","530719","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Studený"
"947098584","641","3162",,,"43","530727","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Brníčko"
"947088548","115","3162","1035","1100000014","43","530727","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Brníčko"
"947076750","391","3162","1035","1300150064","43","530727","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Brníčko"
"947112034","135","3162","1035","1200659999","43","530727","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Brníčko"
"947072518","186","3162",,,"43","530735","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Staré Hrady"
"947147104","26","3162","1035","1100000014","43","530735","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Staré Hrady"
"947135433","118","3162","1035","1300150064","43","530735","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Staré Hrady"
"947100231","42","3162","1035","1200659999","43","530735","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Staré Hrady"
"947084428","231","3162",,,"43","530743","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Bílkovice"
"947076751","39","3162","1035","1100000014","43","530743","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Bílkovice"
"947112035","137","3162","1035","1300150064","43","530743","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Bílkovice"
"947064063","55","3162","1035","1200659999","43","530743","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Bílkovice"
"947131389","341","3162",,,"43","530751","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Tehov"
"947147106","52","3162","1035","1100000014","43","530751","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Tehov"
"947147105","232","3162","1035","1300150064","43","530751","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Tehov"
"947100232","57","3162","1035","1200659999","43","530751","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Tehov"
"947072587","504","3162",,,"43","530760","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Teplýšovice"
"947076752","118","3162","1035","1100000014","43","530760","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Teplýšovice"
"947135434","320","3162","1035","1300150064","43","530760","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Teplýšovice"
"947064064","66","3162","1035","1200659999","43","530760","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Teplýšovice"
"947143029","202","3162",,,"43","530778","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Tichonice"
"947135568","34","3162","1035","1100000014","43","530778","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","0 - 14 let","Tichonice"
"947076907","118","3162","1035","1300150064","43","530778","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","15 - 64 let","Tichonice"
"947147107","50","3162","1035","1200659999","43","530778","2021","2021-03-26","Počet obyvatel s obvyklým pobytem","65 a více let","Tichonice"
"947131390","224","3162",,,"43","530786","2021","2021-03-26","Počet obyvatel s obvyklým pobytem",,"Říkov"
